Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,4.113148694,-1.33202504,-17.52061891,1.823578968,-0.624049319,-13.59899216,1.823514588,-0.624237472,-7.778563118,1.413938509,-0.302886932,0.006715824,-5.190111303,-4.565197715,37.56437537,-9.708302639,-8.046436989,34.16672328,0.755518367,5.295423425,-36.30046644,28.27448105,1.752720228,20.59832359,-34.29196028,86.69397178,44.94168234,16.335645,11.90707915,-4.19346183,-16.78661671,3.137252747,-32.8987627,21.58981314,-2.701659538,6.203089339,-15.78733165,104.1498624,30.85203121,-0.787766721,5.011219031,-5.703163372,-3.572068585,4.207351082,23.67491037,-0.528912435,-2.49249518,6.739338223,4.910349839,0.869954755,12.41834259,0,0,0,1.011477722,0.650613782,48.04941557,2.547818334,-0.009719998,8.353752847,-7.311239386,13.07787143,2.578663246,0,0,0
1,4.056192513,-1.298529417,-17.35485435,1.797780011,-0.610113917,-13.52592824,1.79767808,-0.610283067,-7.705519824,1.393369293,-0.294998971,0.061355152,-5.216958004,-4.522258959,37.43171791,-9.765552223,-7.958811323,33.91753801,0.70689613,5.332528231,-36.04701611,28.00934794,2.017940611,20.77511911,-34.28944047,86.77810478,44.83610865,16.39607373,11.91059448,-4.209920155,-16.80646883,3.096442595,-32.65875034,21.85500651,-2.843301284,6.042105138,-15.78364496,104.132186,30.90286234,-0.785055653,5.052454808,-5.687370344,-3.632072976,4.405151435,22.67385163,-0.542248725,-2.981555591,6.873539274,4.793594501,1.043019488,13.18932662,0,0,0,1.031821627,0.304046929,47.56913081,2.647333296,0.40503749,8.656238205,-6.689829387,12.82505193,1.954372276,0,0,0
2,3.999362931,-1.264186291,-17.18919492,1.772157231,-0.595786333,-13.45287224,1.772068334,-0.595962774,-7.632462262,1.372973201,-0.286830659,0.116022231,-5.243579938,-4.479973841,37.29883857,-9.821263621,-7.871853559,33.66776436,0.657967654,5.367867708,-35.79342484,27.74236831,2.279669598,20.95094643,-34.28751203,86.86216504,44.73048653,16.45637914,11.91426731,-4.22672319,-16.82609914,3.056910596,-32.41886835,22.12054308,-2.985081881,5.88116127,-15.78006018,104.1145045,30.9536999,-0.782344638,5.093623199,-5.671405676,-3.690230406,4.606994877,21.67303217,-0.561915432,-3.470130791,7.008562164,4.672664279,1.213097097,13.95971673,0,0,0,1.052695681,-0.044017369,47.0898132,2.751559118,0.817978401,8.958956772,-6.073029332,12.56048054,1.329021577,0,0,0
3,3.950568691,-1.253231341,-17.04756456,1.750050964,-0.591688877,-13.3902134,1.749989922,-0.591869441,-7.569784159,1.356134488,-0.285930326,0.162956846,-5.276011518,-4.457786557,37.18600811,-9.886781171,-7.822462773,33.45793484,0.619382566,5.360304289,-35.56989797,27.48955166,2.517147056,21.12815822,-34.25353272,86.95883105,44.63080664,16.55080368,11.88343375,-4.295868952,-16.86576107,3.029960576,-32.22241276,22.36803582,-3.05344178,5.836556508,-15.74416698,104.0996046,30.91688171,-0.768600445,5.141803847,-5.650822083,-3.689138772,4.705478766,20.76012529,-0.575151507,-3.907184192,7.223396579,4.411587988,1.310946244,14.68600592,0,0,0,0.959514578,-0.4375653,46.76043191,2.857279494,1.209168946,9.558383904,-5.547870841,12.52307864,0.798715619,0,0,0
4,3.916229839,-1.288818162,-16.94044252,1.734071818,-0.60811544,-13.34240848,1.7340151,-0.608287913,-7.521958477,1.345654638,-0.299713741,0.198824888,-5.31177441,-4.474825362,37.09315457,-9.95974207,-7.846103668,33.28947,0.595765469,5.265559192,-35.39591785,27.25928387,2.72895399,21.32455705,-34.18539542,87.07630181,44.55009763,16.71374267,11.80627219,-4.445226965,-16.94709899,3.036021228,-32.10817004,22.61939071,-2.997642913,5.994757884,-15.67612943,104.0853923,30.73167176,-0.723856761,5.207168224,-5.617017998,-3.616159829,4.630390288,19.94039079,-0.565619848,-4.248605855,7.511557059,3.998956864,1.270785466,15.37983803,-0.082400799,0.000116162,0.063448757,0.651210594,-1.046425463,46.67718589,3.041446192,1.611143673,10.64045389,-5.140338253,12.98275542,0.367802613,0,0,0
5,3.890109372,-1.348182487,-16.85677877,1.721594785,-0.635011249,-13.30481944,1.721528524,-0.635180188,-7.484370694,1.338696107,-0.320960162,0.227036363,-5.353874107,-4.511618536,37.02094031,-10.04413474,-7.907013356,33.16189479,0.583733253,5.128844204,-35.25281991,27.04411965,2.917356441,21.52283186,-34.08525373,87.20701116,44.47490918,16.90913904,11.69409406,-4.648971979,-17.0489673,3.053533846,-32.03770588,22.85069839,-2.864296438,6.271129599,-15.57440866,104.0739878,30.459241,-0.6681649,5.279454979,-5.578284404,-3.492016101,4.449742265,19.20631673,-0.548346776,-4.537294476,7.8805458,3.449237625,1.158107222,16.02954261,-0.164617536,0.00042903,0.127135762,0.232067923,-1.701945208,46.7448152,3.252959927,1.974115592,12.01960244,-4.800260391,13.67065183,0.035683508,0,0,0
6,3.861207176,-1.386817945,-16.78828857,1.708117975,-0.652537871,-13.27419714,1.708050657,-0.652714102,-7.453767696,1.330179648,-0.335307113,0.249970916,-5.416410291,-4.529299393,36.99058584,-10.16092036,-7.934584774,33.11228269,0.58186062,5.043402749,-35.11317307,26.83692326,3.068045704,21.673301,-33.92687538,87.3403381,44.37108437,17.06538294,11.54715237,-4.878015873,-17.12761355,3.030820629,-31.93784852,22.97579166,-2.727780434,6.524311037,-15.40390401,104.0745972,30.19536489,-0.650409078,5.3351706,-5.555865959,-3.307877318,4.261768628,18.62686957,-0.559052337,-4.850566237,8.431110925,2.664982144,1.103852958,16.55441254,0,0,0,-0.108193779,-1.937566191,46.82121904,3.274324838,2.1680075,13.44002259,-4.5191227,14.02112325,-0.107958826,0,0,0
7,3.824732734,-1.384131626,-16.74270301,1.69173404,-0.651401117,-13.25412662,1.691675211,-0.651586673,-7.433706194,1.317868917,-0.335979189,0.264952751,-5.520920702,-4.508528718,37.03498415,-10.34569551,-7.894492557,33.2016191,0.587780364,5.064256812,-34.97343918,26.64425162,3.165139797,21.74858376,-33.69639957,87.46857253,44.22546327,17.17628818,11.32181449,-5.154574804,-17.16032766,2.930522661,-31.76892668,22.92862587,-2.590483708,6.726483405,-15.09939512,104.1108365,29.94612684,-0.734734538,5.378450891,-5.555762084,-3.059059396,4.108377776,18.25155148,-0.604859693,-5.228098034,9.20238878,1.598547681,1.174540842,16.95453074,0.527672198,-0.000746638,-0.339134042,-0.259863618,-1.43211119,46.9184798,2.913249496,2.116981976,14.90318381,-4.446341558,13.71765462,-0.044082608,0,0,0
8,3.785303001,-1.361001554,-16.71269353,1.674262195,-0.640980953,-13.24114292,1.674203105,-0.641162888,-7.420718701,1.303919899,-0.329794247,0.274613608,-5.645339759,-4.467868738,37.12083557,-10.56318357,-7.819642133,33.36717931,0.603021034,5.136537556,-34.83610694,26.4602067,3.226315727,21.77726717,-33.40777608,87.5991078,44.05061034,17.24629059,11.06155322,-5.455241833,-17.16938302,2.790653002,-31.56966657,22.7752913,-2.455002556,6.901606287,-14.72557661,104.1587587,29.7082853,-0.856688416,5.405822665,-5.57330149,-2.745042811,3.946105871,18.03042328,-0.680065453,-5.622972652,10.15642848,0.298985188,1.320889488,17.22217139,1.300624259,0.001412501,-0.871360393,-0.341192736,-0.504317734,47.02012896,2.309791421,1.931149475,16.39775626,-4.459670831,13.0901219,0.211933113,0,0,0
9,3.746166874,-1.334901666,-16.6675755,1.656886964,-0.629343698,-13.22146519,1.656822039,-0.629514642,-7.401035616,1.289921768,-0.322702003,0.289295305,-5.738319958,-4.425596452,37.16974839,-10.72690861,-7.740723037,33.46055504,0.631890295,5.188290573,-34.68267089,26.25877678,3.287324871,21.7935275,-33.07644774,87.74386438,43.85122426,17.22270789,10.89887375,-5.679485014,-17.17879225,2.672720286,-31.38428124,22.63120243,-2.397272142,6.986865909,-14.44367909,104.1568609,29.56136898,-0.872285548,5.381628537,-5.612712694,-2.359624291,3.745517469,17.88403589,-0.800532057,-5.979592056,11.2782063,-1.185430853,1.511041892,17.26309387,2.213072023,0.015110948,-1.728560566,-0.501035079,0.354503716,46.93708146,1.740274739,1.760184645,17.65990384,-4.152216646,12.53764723,0.685643881,0,0,0
